"id","first_name","known_name","last_name","Round","price","match_id","match_score","squad","Home Team","position","Minutes","Goals","Assists","Clean Sheet","Saves","Penalties Earned","Penalties Saved","Penalties Missed","Goals Conceded","Yellow Cards","Red Cards","Own Goals","Own Goal Assists","Shots","Was Fouled","Passes","Passes Completed","Crosses","Key Passes","Big Chances","Clearances","Blocks","Interceptions","Tackles","Balls Recovered","Errors Leading to a Goal"
"193611","Bryan",,"Acosta","23","6300000","1040154","5","DAL","True","3","90","0","0","0","0","0","0","0","3","0","0","0","0","4","1","72","61","0","1","0","2","0","0","2","14","0"
"193611","Bryan",,"Acosta","24","6400000","1040165","4","DAL","False","3","90","0","0","0","0","0","0","0","2","1","0","0","0","3","3","80","69","0","0","0","3","0","1","2","8","0"
"193611","Bryan",,"Acosta","24","6400000","1040176","4","DAL","False","3","90","0","0","0","0","0","0","0","3","1","0","0","0","1","2","96","84","0","1","0","1","0","2","0","11","0"
"220877","Danilo",,"Acosta","1","5000000","1037589","3","ORL","True","2","90","0","0","0","0","0","0","0","2","0","0","0","0","0","0","33","27","1","0","0","4","0","3","0","7","0"
"220877","Danilo",,"Acosta","2","5000000","1037593","2","ORL","False","2","90","0","0","0","0","0","0","0","1","0","0","0","0","0","1","36","26","0","0","0","0","0","2","0","5","0"
"220877","Danilo",,"Acosta","3","4900000","1039878","2","ORL","True","2","74","0","0","0","0","0","0","0","2","1","0","0","0","0","1","20","16","0","0","0","1","2","0","2","6","0"
"220877","Danilo",,"Acosta","17","5000000","1039944","10","ORL","False","2","90","0","1","1","0","0","0","0","0","0","0","0","0","0","1","27","18","0","0","0","3","0","1","2","1","0"
"220877","Danilo",,"Acosta","18","5500000","1039961","1","ORL","True","2","61","0","0","0","0","0","0","0","3","0","0","0","0","0","1","26","20","0","0","0","2","0","0","3","2","0"
"220877","Danilo",,"Acosta","18","5500000","1039994","1","ORL","False","2","90","0","0","0","0","0","0","0","2","0","0","0","0","0","0","32","23","2","1","0","1","0","0","0","4","0"
"220877","Danilo",,"Acosta","12","4700000","1040009","3","ORL","False","2","85","0","0","0","0","0","0","0","2","0","0","0","0","1","0","41","38","0","0","0","0","0","0","1","6","0"
"220877","Danilo",,"Acosta","20","5300000","1040049","4","ORL","False","2","90","0","0","0","0","0","0","0","1","0","0","0","0","0","0","34","22","0","0","0","2","2","1","3","9","0"
"149528","Kellyn",,"Acosta","1","6500000","1037582","6","COL","True","3","77","0","1","0","0","0","0","0","3","0","0","0","0","2","0","23","16","0","1","1","0","0","0","0","4","0"
"149528","Kellyn",,"Acosta","2","6800000","1039871","2","COL","False","3","77","0","0","0","0","0","0","0","2","0","0","0","0","2","1","25","22","0","0","0","1","0","1","1","3","0"
"149528","Kellyn",,"Acosta","3","6700000","1039880","3","COL","True","3","79","0","0","1","0","0","0","0","0","0","0","0","0","2","0","15","12","0","0","0","0","0","0","1","1","0"
"149528","Kellyn",,"Acosta","4","6500000","1039882","2","COL","False","3","90","0","0","0","0","0","0","0","2","0","0","0","0","2","1","31","25","0","0","0","0","0","2","0","3","0"
"149528","Kellyn",,"Acosta","5","6100000","1039890","1","COL","True","3","34","0","0","0","0","0","0","0","1","0","0","0","0","3","1","10","9","0","1","0","0","0","0","1","2","0"
"149528","Kellyn",,"Acosta","8","5600000","1039906","1","COL","False","3","45","0","0","0","0","0","0","0","1","0","0","0","0","0","2","22","19","0","0","0","0","0","0","0","1","0"
"149528","Kellyn",,"Acosta","16","6500000","1039923","1","COL","False","3","90","0","0","0","0","0","0","0","2","1","0","0","0","0","0","31","28","0","1","0","2","0","0","3","3","0"
"149528","Kellyn",,"Acosta","9","5300000","1039929","1","COL","False","3","90","0","0","0","0","0","0","0","1","1","0","0","0","2","1","28","20","0","0","0","1","0","3","0","5","0"
"149528","Kellyn",,"Acosta","17","6100000","1039940","4","COL","True","3","90","0","0","1","0","0","0","0","0","0","0","0","0","0","1","19","17","1","1","0","0","0","1","1","6","0"
"149528","Kellyn",,"Acosta","10","4900000","1039960","4","COL","True","3","90","0","0","0","0","1","0","0","3","1","0","0","0","2","1","34","29","0","0","0","0","0","1","5","3","0"
"149528","Kellyn",,"Acosta","18","5900000","1039983","1","COL","True","3","89","0","0","0","0","0","0","0","2","0","1","0","0","0","1","28","24","0","2","1","2","0","0","4","3","0"
"149528","Kellyn",,"Acosta","11","4800000","1039995","8","COL","True","3","90","1","0","0","0","0","0","0","3","0","0","0","0","2","0","30","24","0","0","0","1","0","0","4","4","0"
"149528","Kellyn",,"Acosta","12","5300000","1040038","5","COL","False","3","90","0","0","1","0","0","0","0","0","0","0","0","0","0","1","40","31","0","1","0","2","1","0","4","6","0"
"149528","Kellyn",,"Acosta","15","6300000","1040041","2","COL","True","3","90","0","0","1","0","0","0","0","0","1","0","0","0","0","1","29","22","0","0","0","0","0","0","3","5","0"
"149528","Kellyn",,"Acosta","21","5500000","1040074","2","COL","False","3","90","0","0","0","0","0","0","0","3","0","0","0","0","2","0","24","22","0","0","0","0","1","0","0","4","0"
"149528","Kellyn",,"Acosta","22","5200000","1040077","2","COL","True","3","90","0","0","0","0","0","0","0","3","1","0","0","0","1","0","55","52","0","0","0","0","0","2","0","5","0"
"149528","Kellyn",,"Acosta","13","5800000","1040092","5","COL","True","3","90","0","0","0","0","0","0","0","2","0","0","0","0","2","1","36","32","0","0","0","3","0","1","3","12","0"
"149528","Kellyn",,"Acosta","14","6300000","1040104","3","COL","False","3","90","0","0","0","0","0","0","0","1","0","0","0","0","0","1","42","31","0","2","0","1","0","4","3","4","0"
"149528","Kellyn",,"Acosta","14","6300000","1040107","4","COL","True","3","90","0","0","0","0","0","0","0","1","0","0","0","0","0","0","31","24","1","2","1","0","0","1","4","5","0"
"149528","Kellyn",,"Acosta","6","5700000","1040123","6","COL","False","3","90","0","1","0","0","0","0","0","4","0","0","0","0","1","1","53","42","1","0","0","0","0","2","3","6","0"
"149528","Kellyn",,"Acosta","7","5700000","1040133","2","COL","True","3","90","0","0","0","0","0","0","0","3","1","0","0","0","1","2","59","47","0","1","0","1","0","2","2","9","0"
"149528","Kellyn",,"Acosta","23","4900000","1040136","7","COL","True","3","90","1","0","0","0","0","0","0","1","0","0","0","0","2","2","23","18","0","0","0","2","0","2","0","4","0"
"149528","Kellyn",,"Acosta","25","5300000","1040150","1","COL","False","3","90","0","0","0","0","0","0","0","2","1","0","0","0","0","0","29","23","0","1","0","0","0","1","0","1","0"
"149528","Kellyn",,"Acosta","24","5300000","1040166","2","COL","False","3","90","0","0","0","0","0","0","0","1","1","0","0","0","0","0","29","23","4","2","0","0","1","2","0","3","0"
"149528","Kellyn",,"Acosta","24","5300000","1040173","3","COL","False","3","90","0","0","0","0","0","0","0","2","0","0","0","0","2","1","25","23","0","0","0","1","0","1","0","6","0"
